Company,Location ,Title,Name ,Focus,Experience,,,,,,,,,,,,
,Hong Kong,Vice President,Marcus Liu,,Joined in 2011. Ex MS. Ex McK. HKUST. Left to join China Nepstar Chain,,,,,,,,,,,,
,Hong Kong,Vice President,Martina Yu,,Joined in Aug 17. Ex UBS,,,,,,,,,,,,
,Hong Kong,Vice President,Matt Liu ,,"Joined in Aug 16.  Ex Bain & Co. Not good, lazy",,,,,,,,,,,,
,Hong Kong,Senior Associate,Ben Chen,,Will be Sr Asso by end 2013,,,,,,,,,,,,
,Hong Kong,Senior Associate,Mark Yinliang He,,"Ex BX, will be Sr AS in 15. Left to join York Capital",,,,,,,,,,,,
,Hong Kong,Associate,Carol Dong,,"Joined in 19, ex Bain & Co",,,,,,,,,,,,
,Hong Kong,Vice President,Clarence Deng,TMT/Consumer,"Joined in 18, ex JPM",,,,,,,,,,,,
,Hong Kong,Associate,Derek Li,,Joined in Aug 17.  Ex Citi. Co-founded Snowplus tech,,,,,,,,,,,,
,Hong Kong,Associate,Dirk Xu,,"Joined in 19, ex MS, ex BAML. Resigned and will join KKR to work under Karen",,,,,,,,,,,,
,Hong Kong,Associate,Emmy Yixin Han ,,"Joined in Aug 17.  Ex Bain & Co. Now at RELX Tech, start up",,,,,,,,,,,,
,Hong Kong,Vice President,Zihan Liu,,,,,,,,,,,,,,
,Hong Kong,Vice President,John Qin,,"Joined in 19, ex BAML. Interviewed with DCP before and got rejected",,,,,,,,,,,,
,Hong Kong,Associate,Justin Zuo,,"Joined in Oct 15, went to MBA 18-20",,,,,,,,,,,,
,Hong Kong,Associate,Leo Xia,,"Joined in 14, ex GS PSIG, Class of 2011. Now with CMC",,,,,,,,,,,,
,Hong Kong,Associate,Lixian Wang,,Joined in Aug 16.  Ex MS,,,,,,,,,,,,
,Hong Kong,Vice President,Liza Cheung,,"Joined in 18, ex UBS",,,,,,,,,,,,
,Hong Kong,Associate,Mao Zou,,Joined in 2020,,,,,,,,,,,,
,Hong Kong,Associate,Michel Chiheng Zhang,,"Joined in 2013 from Bain & Co., PM at Viking now",,,,,,,,,,,,
,Hong Kong,Associate,Mingyuan Li,,"Joined in 21, ex JPM",,,,,,,,,,,,
,Hong Kong,Associate,Daisy Shi,,"Joined in 21, ex HOPU-ARM",,,,,,,,,,,,
,Hong Kong,Associate,Ray Liu,,Joined in 2020,,,,,,,,,,,,
,Hong Kong,Associate,Shaoang Yu,,Joined in 2020,,,,,,,,,,,,
,Hong Kong,Associate,Wenbo Yin,,"Joined in 18, ex CS",,,,,,,,,,,,
,Hong Kong,Associate,Yangrui Lin,,Joined Tiger HF team. Ex WP tmt. in Aug 17.  Ex Silverlake,,,,,,,,,,,,
,Hong Kong,Associate,Yu Chen,,Joined in 2013 from Bain SH,,,,,,,,,,,,
,Hong Kong,Asia General Counsel,Melissa Obegi,Legal,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Blackstone,Hong Kong,Senior Managing Director,Alex Yang,"Buyout - hospital, manufacturing","Ex TPG Capital, joined in 09/16. ",,,,,,,,,,,,
,Hong Kong,Senior Managing Director,Edward Huang,Buyout,Joined in 2012. Ex MSPE,,,,,,,,,,,,
,Hong Kong,Senior Managing Director,Jan Nielsen,,Joined AP Moller Holding in 2018. Joined in 2005 from London to HK. Ex MS.,,,,,,,,,,,,
,Hong Kong,Senior Managing Director,Tim Wang,Real Estate,ex ML,,,,,,,,,,,,
,Hong Kong,Managing Director,Brian Chi ,"Buyout - HC, Consumer",Joined Loyal Valley Capital in 2020 Ex MS.,,,,,,,,,,,,
,Hong Kong,Managing Director,David Kim,Real Estate,"Portfolil management, ex ML",,,,,,,,,,,,
,Hong Kong,Managing Director,Eugune Cook,Buyout,Joined in 2016. Transferred from Bx NY office. ,,,,,,,,,,,,
,Hong Kong,Managing Director,Florian Schaefer,Real Estate,Left in 2018 to join Northwood Investor in London,,,,,,,,,,,,
,Hong Kong,Managing Director,Howard Zhang,Real Estate,Ex Infrared NF Investment and Citi Property Investors,,,,,,,,,,,,
,Hong Kong,Managing Director,James Yang,Buyout - TW/TMT,Joined in 2016.  Ex Carlyle. ,,,,,,,,,,,,
,Hong Kong,Managing Director,Justin Wai,Real Estate,Joined in 2007. Ex Macquarie Bank,,,,,,,,,,,,
,Hong Kong,Managing Director,Richard Law,Real Estate,"Joined in 2008. Ex BAML, Google and CIBC World Markets.",,,,,,,,,,,,
,Hong Kong,"Partner, Senior Managing Director",R. Christopher Heady,Real Estate,Joined in 2000.  Ex MS RE PE.,,,,,,,,,,,,
,Hong Kong,"Partner, Senior Managing Director",Stuart M. Grant,Real Estate,Ex Jardine Matheson Group.,,,,,,,,,,,,
,Hong Kong,Principal,Bill Wang,Buyout,"Left in 2021 to join a corporate as CFO in Guangdong. Joined in 2019, ex MSPE",,,,,,,,,,,,
,Hong Kong,Principal,Frank Han,Buyout,Rejoined after MBA at Wharton 2012,,,,,,,,,,,,
,Hong Kong,Managing Director,Jack Guo,Buyout,Joined in 2018. Promoted to Principal in 2019. Promoted to Partner in 2022. Ex MSPE,,,,,,,,,,,,
,Hong Kong,Principal,Jeff Cui ,Buyout,"Joined in 2017. Ex TPG, MSPE. Ex MS. ",,,,,,,,,,,,
,Hong Kong,Principal,Jonathan Timberlake,,Non China,,,,,,,,,,,,
,Hong Kong,Principal,Lei Hao,"Buyout - FIG, Industrial",Joined in 2013. ex Apax and Lehman Brothers. Joined ADIA,,,,,,,,,,,,
,Hong Kong,Principal,Paul Yip,Buyout,Joined in 2019. Ex PAG,,,,,,,,,,,,
,Hong Kong,Principal,Rex Gao,Buyout,Joined in 2014. Ex MS,,,,,,,,,,,,
,Hong Kong,Senior Associate,Alex Li ,Buyout,Joined in 2018.  Rejoined after MBA from Stanford.,,,,,,,,,,,,
,Hong Kong,Senior Associate,David Ying Zeng,Buyout,"Joined New Frontier Group in 2018. Left BS in 2018. Ex Barclays, left to Carl wu",,,,,,,,,,,,
,Singapore,Senior Associate,Jonathan Skinner,Buyout,"Joined April 2016, ex-Lazard",,,,,,,,,,,,
,Hong Kong,Senior Associate,Joy Zhou,Buyout,"Joined in 18, ex CS, TMT",,,,,,,,,,,,
,Hong Kong,Senior Associate,Justin Or,Buyout,Joined in 16.  Ex Silver Lake ,,,,,,,,,,,,
,Hong Kong,Senior Associate,William Liu  ,Buyout,Joined in 16. EX DB. Left for CPPIB,,,,,,,,,,,,
,Hong Kong,Senior Associate,Wilson Zhu,Buyout,Joined in Mar 17.  Ex Citi. ,,,,,,,,,,,,
,Hong Kong,Senior Associate,Ruoxing Zhang,Real Estate ,,,,,,,,,,,,,
,Hong Kong,Senior Associate,Yang Liu,Buyout,"Joined in 09/2016, Ex Boyu",,,,,,,,,,,,
,Hong Kong,Senior Associate,Teresa Heung,Buyout,"Joined in 19, ex Silverlake ",,,,,,,,,,,,
,Hong Kong,Senior Associate,Yuren Eliza Wang,Buyout,,,,,,,,,,,,,
,Hong Kong,Associate,Alex Li ,Buyout,Ex MS US,,,,,,,,,,,,
,Hong Kong,Associate,Archer Shen,Buyout,Ex Citi,,,,,,,,,,,,
,Hong Kong,Associate,Kelvin Lin,Buyout,"Joined in 21, ex BAML",,,,,,,,,,,,
,Hong Kong,Associate,Wankun Chen,Buyout,"Joined in 21, ex MS",,,,,,,,,,,,
,Singapore,Associate,Christian Keiber,Buyout,,,,,,,,,,,,,
,Singapore,Associate,Jeffrey French ,Buyout,left BS in 2019 to join OMERS PE in SG,,,,,,,,,,,,
,Hong Kong,Associate,Jeffrey Lyu,Buyout,"Joined in 20, ex mspe",,,,,,,,,,,,
,Hong Kong,Associate,Chase Guo,Real Estate ,,,,,,,,,,,,,
,Hong Kong,Associate,Jennifer Hsu,Real Estate ,"Joined in Sep 2014, ex-Fortress, NYC",,,,,,,,,,,,
,Hong Kong,Associate,June Liang,Buyout,Joined in 18.  Ex BAML. ,,,,,,,,,,,,
,Hong Kong,Associate,Mark Ma,Real Estate ,"HBS, ex ",,,,,,,,,,,,
,Hong Kong,Associate,Owen Chen,Buyout,Relocated from BX US,,,,,,,,,,,,
,Hong Kong,Associate,Pak Man Yuen,Real Estate,Joined in April 2013,,,,,,,,,,,,
,Hong Kong,Associate,Robert Hung,Real Estate,Analyst at Bluedrive Global Investors since 2017. Joined in 2011. 06/2014 promoted to Associate,,,,,,,,,,,,
,Hong Kong,Analyst 1,Haibo Zhao,Real Estate,Ex GS,,,,,,,,,,,,
,Hong Kong,Analyst,Kayla Yu,Buyout,Joined in 19. Ex CS. interviewed with DCP before and rejected,,,,,,,,,,,,
,Hong Kong,Analyst,Serena Wu,Buyout,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Baring ,Singapore,Managing Director/Partner,Mark Fogle,RE,Joined in 2011. Ex RREEF. Ex AIG,,,,,,,,,,,,
,Shanghai,Managing Director,Alex Lee,HC,"Joined in 2007, promoted to MD in 1/18",,,,,,,,,,,,
,Mumbai,Managing Director,Ashish Agrawal,,Joined in 2008. Ex LB. ,,,,,,,,,,,,
,Hong Kong,Managing Director,Charles Lam,RE,Joined in 2011. ,,,,,,,,,,,,
,Hong Kong,Managing Director,Dar Cin Chen,,Senior Advisor now,,,,,,,,,,,,
,Hong Kong,Managing Director,Gordon Shaw,Run the Growth Fund,EAL Relationship: Max,,,,,,,,,,,,
,Beijing,Managing Director,Guy Cui,Consumer,Joined in 2011. Ex Hopu and HSBC.,,,,,,,,,,,,
,Hong Kong,Managing Director,Han Chul Kim,Korea,Joined in 2009. Ex Lehman Brothers and Credit Suissie,,,,,,,,,,,,
,Mumbai,Managing Director,Hari Gopalakrishnan,,Joined in 2007. Ex New Vernon.,,,,,,,,,,,,
,Singapore,Managing Director,Jack Jennessy,"Education,Retail,Consumer products,Manufacturing","Joined in 2001. Ex Allen & Buckeridge, Ex Accenture",,,,,,,,,,,,
,Mumbai,Managing Director,Jimmy Mahtani,,Joined in 2006. Ex GA.,,,,,,,,,,,,
,Singapore,Managing Director,Kenneth Cheong,SEA,"Joined in 1998. Ex BZW, EX DBS",,,,,,,,,,,,
,Hong Kong,Managing Director,Kosmo Kalliarekos,COO,Education Sector,,,,,,,,,,,,
,Hong Kong,Managing Director,Malcolm Lai,RE,Joined in 2013. Ex  Invesco Asia Funds and AIG,,,,,,,,,,,,
,Singapore,Managing Director,Nicholas Macksey,"Education,Retail,Business Services",Joined in 2001. Ex Westpac. Ex Deloitte,,,,,,,,,,,,
,Singapore,Managing Director,Peter Manga,RE,Joined in 2011. Ex LaSalle. Ex RREEF,,,,,,,,,,,,
,Shanghai,Managing Director,Yan Jiao,HC,Promoted to MD in Dec 14,,,,,,,,,,,,
,Hong Kong,Principal,Andrew Wang,To b,Ex MS,,,,,,,,,,,,
